# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 2
10 0 3
11 0 5
12 0 7
13 0 9
14 0 12
15 0 16
16 0 19
17 0 21
18 0 23
19 0 27
20 0 30
21 0 32
22 0 34
23 0 37
24 0 40
25 0 43
26 0 43
27 0 47
28 0 49
29 0 54
30 0 55
31 0 56
32 0 59
33 0 60
34 0 63
35 0 65
36 0 67
37 0 72
38 0 72
39 0 72
40 0 75
41 0 78
42 0 80
43 0 80
44 0 84
45 0 87
46 0 91
47 0 92
48 0 95
49 0 98
50 0 102
51 0 105
52 0 107
53 0 108
54 0 112
55 0 112
56 0 114
57 0 116
58 0 119
59 0 121
60 0 121
61 0 125
62 0 127
63 0 129
64 0 132
65 0 134
66 0 136
67 0 138
68 0 142
69 0 146
70 0 148
71 0 148
72 0 151
73 0 155
74 0 157
75 0 159
76 0 159
77 0 159
78 0 163
79 0 165
80 0 167
81 0 169
82 0 171
83 0 174
84 0 176
85 0 178
86 0 181
87 0 183
88 0 187
89 0 189
90 0 192
91 0 196
92 0 196
93 0 198
94 0 202
95 0 203
96 0 205
97 0 207
98 0 209
99 0 211
100 0 213
101 0 215
102 0 216
103 0 219
104 0 220
105 0 222
106 0 226
107 0 230
108 0 232
109 0 234
110 0 237
111 0 238
112 0 240
113 0 243
114 0 244
115 0 247
116 0 248
117 0 250
118 0 253
119 0 255
120 0 258
121 0 261
122 0 264
123 0 268
124 0 271
125 0 273
126 0 274
127 0 275
128 0 278
129 0 280
130 0 284
131 0 285
132 0 288
133 0 291
134 0 294
135 0 296
136 0 297
137 0 298
138 0 302
139 0 304
140 0 306
141 0 307
142 0 311
143 0 313
144 0 316
145 0 317
146 0 319
147 0 322
148 0 327
149 0 330
150 0 331
151 0 334
152 0 335
153 0 337
154 0 339
155 0 341
156 0 344
157 0 346
158 0 348
159 0 354
160 0 355
161 0 356
162 0 359
163 0 362
164 0 365
165 0 367
166 0 369
167 0 369
168 0 372
169 0 375
170 0 376
171 0 379
172 0 380
173 0 381
174 0 384
175 0 385
176 0 388
177 0 389
178 0 391
179 0 394
180 0 398
181 0 400
182 0 402
183 0 403
184 0 406
185 0 407
186 0 408
187 0 412
188 0 413
189 0 416
190 0 418
191 0 421
192 0 423
193 0 425
194 0 427
195 0 431
196 0 434
197 0 436
198 0 437
199 0 440
200 0 442
